89.131   178.858
74.324   189.796
77.614   206.704
89.409   218.744
91.418   238.433
75.03    249.392
62.741   247.15
55.209   240.096
54.559   229.658
60.732   224.543
68.912   225.197
71.468   229.306
68.987   233.632
61.791   233.715
51.51    227.509
42.564   225.954
28.404   225.769
24.79    223.524
23.867   219.957
27.413   217.0
37.228   214.753
48.648   214.672
55.0     213.783
48.66    209.843
41.977   206.888
35.417   202.679
36.156   199.143
39.918   198.084
46.6     201.82
52.795   205.669
57.557   207.257
61.085   204.435
60.73    197.33
56.449   188.517
47.884   178.747
40.977   155.751
50.678   132.997
69.199   119.062
98.832   113.771
135.499  117.499
155.807  125.679
176.209  144.872
182.029  179.482
178.56   196.497
179.427  210.008
184.557  212.901
187.732  208.315
185.185  198.401
174.679  188.383
152.807  184.326
129.015  185.619
91.788   174.02
83.134   154.34
101.743  132.909
119.211  131.22
130.229  134.937
131.817  143.227
126.98   146.521
123.605  145.033
123.138  141.051
127.234  138.675
135.521  139.347
141.912  153.869
137.638  156.28
134.536  153.238
136.579  149.577
149.304  149.78
155.453  153.987
155.277  162.63
149.456  167.04
146.149  164.041
153.018  160.467
160.701  163.118
165.684  171.097
154.231  177.524
131.22   178.953
119.049  177.581
105.003  173.97
93.717   167.172
